Agent_id,agent_city,agent_firm_name,agent_state
6108,San Francisco,"Chronis & Kreher, Llp",California
6109,San Francisco,"Fragomen, De Rey, Bernsen & Loewy, Llp",California
6110,Memphis,Fisher & Phillips,Tennessee
6111,Scottsdale,Kutak Rock Llp,Arizona
6112,New York,Levitt & Needleman Pc,New York
6113,Overland Park,Attorney,Kansas
6114,Decatur,"Kramer & Associates, Pc",Georgia
6115,Monterey,Osja/ Ad Law Immigration,California
6116,New York,Schaier Tribbitt And Schaier,New York
6117,Andover,"Najjar Employment Law Group, P.C.",Massachusetts
6118,Chicago,Walker Morton Llp,Illinois
6119,New York,"Asha Chauhan, Attorney At Law",New York
6120,Salt Lake City,"Lorina Tester, Attorney At Law, Pllc",Utah
6121,Reston,Tievsky Immigration Law,Virginia
6122,Los Angeles,Law Offices Of Linda M. Nakamura,California
6123,Dallas,"Akula & Associates, Pc",Texas
6124,Ann Harbor,Dehai Tao P.C.,Michigan
6125,Nashville,"Baker, Donelson, Bearman, Caldwell & Berkowitz, P.C.",Tennessee
6126,Tuscaloosa,Andres And Lemley Llc,Alabama
6127,Flushing,"Law Office Of David K. S. Kim, P.C.",New York
6128,Houston,Law Office Of Syed Izfar,Texas
6129,Las Vegas,Prudhomme Law Office,Nevada
6130,Chicago,Wessels Sherman Joerg Liszka Laverty Seneczko P.C.,Illinois
6131,Forest Hills,Rathee Law Firm,New York
6132,Akron,"Brennan Manna & Diamond, Llc",Ohio
6133,Minneapolis,Law Offices Of Nancy M Robinett Pc,Minnesota
6134,Princeton,NA,New Jersey
6135,Costa Mesa,"Sheppard, Mullin, Richter & Hampton, Llp",California
6136,Dallas,Ansbach + Ghouse Pllc,Texas
6137,Coconut Creek,Mcguirewoods Llp,Florida
6138,Tampa,Perez & Associates,Florida
6139,Long Beach,Law Offices Of Bobby C Lih,California
6140,Concord,"Orr & Reno, P.A.",New Hampshire
6141,Glen Cove,"Davidson Law Group, P.C,",New York
6142,New York,Law Office Of H Mine Gur,New York
6143,Omaha,Attorney,Nebraska
6144,Boston,"Fragomen, Dey Rey, Bernsen & Loewy, Llp",Massachusetts
6145,Oakland,NA,California
6146,Iselin,"Law Office Of Sk Gupta, P.C.",New Jersey
6147,New Orleans,Law Offices Of Brenda J. Dearmas-Ricci,Louisiana
6148,San Francisco,Warren Law Firm,California
6149,Cupertino,Law Office Of Sylvia Hsieh,California
