zip_id,zip,city,state
488,90745,Carson,California
489,7008,Carteret,New Jersey
490,30120,Cartersville,Georgia
491,62918,Carterville,Illinois
492,62321,Carthage,Illinois
493,64836,Carthage,Missouri
494,60013,Cary,Illinois
495,27511,Cary,North Carolina
496,98815,Cashmere,Washington
497,82601,Casper,Wyoming
498,32707,Casselberry,Florida
499,91310,Castaic,California
500,1798,Castle Pines,Colorado
501,80104,Castle Rock,Colorado
502,1798,Castro Valey,California
503,94546,Castro Valley,California
504,21228,Catonsville,Maryland
505,85327,Cave Creek,Arizona
506,1798,Cavecreek,Arizona
507,93430,Cayucos,California
508,50613,Cedar Falls,Iowa
509,75104,Cedar Hill,Texas
510,1798,Cedar Hills,Utah
511,7927,Cedar Knolls,New Jersey
512,78613,Cedar Park,Texas
513,52401,Cedar Rapids,Iowa
514,53012,Cedarburg,Wisconsin
515,1798,Cedarpark,Texas
516,1798,Celebration,Florida
517,75009,Celina,Texas
518,1798,Centennail,Colorado
519,82055,Centennial,Colorado
520,47840,Centerpoint,New York
521,72719,Centerton,Arkansas
522,2632,Centerville,Ohio
523,84014,Centerville,Utah
524,2632,Centerville,Virginia
525,29630,Central,South Carolina
526,11722,Central Islip,New York
527,20120,Centreville,Virginia
528,90703,Cerritos,California
529,19317,Chadds Ford,Pennsylvania
530,1798,Chaddsford,Pennsylvania
531,18914,Chalfont,Pennsylvania
532,61820,Champaign,Illinois
533,85224,Chandler,Arizona
534,47610,Chandler,Arkansas
535,55317,Chanhassen,Minnesota
536,20151,Chantilly,Virginia
537,27514,Chapel Hill,North Carolina
538,29036,Chapin,South Carolina
539,10514,Chappaqua,New York
540,1798,Charles,Missouri
541,50616,Charles City,Iowa
542,29401,Charleston,South Carolina
543,4422,Charleston,Virginia
544,25301,Charleston,West Virginia
545,2129,Charlestown,Massachusetts
546,5445,Charlotte,Georgia
547,28201,Charlotte,North Carolina
548,22901,Charlottesville,Virginia
549,55318,Chaska,Minnesota
550,62629,Chatham,Illinois
551,7928,Chatham,New Jersey
552,91311,Chatsworth,California
553,1798,Chattanoga,Tennessee
554,37401,Chattanooga,Tennessee
555,1798,Chciago,Illinois
556,1798,Cheektowaga,New York
557,98532,Chehalis,Washington
558,1824,Chelmsford,Massachusetts
559,35043,Chelsea,Alabama
560,2150,Chelsea,Massachusetts
561,19012,Cheltenham,Pennsylvania
562,1798,Chempanthotty,Unkown
563,99004,Cheney,Washington
564,1798,Chennai,Unkown
565,8002,Cherry Hill,New Jersey
566,23320,Chesapeake,Virginia
567,6408,Cheshire,Connecticut
568,10918,Chester,New York
569,19013,Chester,Pennsylvania
570,23831,Chester,Virginia
571,1798,Chester Spgs,Pennsylvania
572,19425,Chester Springs,Pennsylvania
573,1798,Chesterbrook,Pennsylvania
574,63005,Chesterfield,Missouri
575,8515,Chesterfield,New Jersey
576,2467,Chestnut Hill,Massachusetts
577,15024,Cheswick,Pennsylvania
578,20815,Chevy Chase,Maryland
579,82001,Cheyenne,Wyoming
580,60290,Chicago,Illinois
581,60290,Chicago,Indiana
582,60415,Chicago Ridge,Illinois
583,95926,Chico,California
584,32626,Chiefland,Florida
585,86503,Chinle,Arizona
586,91708,Chino,California
587,91709,Chino Hills,California
588,32428,Chipley,Florida
589,54729,Chippewa Falls,Wisconsin
590,1798,Chittoor,Unkown
591,24068,Christiansburg,Virginia
